pattern	sbml_type	annotation_type	qualifier	collection	entity	name
########################################################################################################						
# Annotations of the Hepatic Glucose Model (Koenig2012)						
########################################################################################################						
						
#model						
	document	RDF	BQM_IS	sbo	SBO:0000293	non-spatial continuous framework
Hepatic_glucose	model	RDF	BQB_HAS_TAXON	taxonomy	9606	Homo sapiens (Human)
Hepatic_glucose	model	RDF	BQB_IS	bto	BTO:0000759	liver
Hepatic_glucose	model	RDF	BQB_IS	uberon	UBERON:0002107	liver
Hepatic_glucose	model	RDF	BQB_IS	fma	FMA:7197	liver
Hepatic_glucose	model	RDF	BQB_IS	bto	BTO:0000575	hepatocyte
Hepatic_glucose	model	RDF	BQB_IS	fma	FMA:14515	hepatocyte
Hepatic_glucose	model	RDF	BQB_IS_VERSION_OF	pw	PW:0000685	glucose biosynthesis pathway
Hepatic_glucose	model	RDF	BQB_IS_VERSION_OF	kegg.pathway	map00010	Glycolysis / Gluconeogenesis
Hepatic_glucose	model	RDF	BQB_IS_VERSION_OF	go	GO:0006006	glucose metabolic process
Hepatic_glucose	model	RDF	BQB_IS_VERSION_OF	reactome	R-HSA-70326	glucose metabolism
Hepatic_glucose	model	RDF	BQM_IS_DESCRIBED_BY	pubmed	22761565	
						
# compartment						
cyto	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
cyto	compartment	RDF	BQB_IS	go	GO:0005829	cytosol
cyto	compartment	RDF	BQB_IS	fma	FMA:66836	portion of cytosol
						
pm	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
pm	compartment	RDF	BQB_IS	go	GO:0005886	plasma membrane
pm	compartment	RDF	BQB_IS	fma	FMA:63841	plasma membrane
						
ext	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
ext	compartment	RDF	BQB_IS	go	GO:0005615	extracellular space
ext	compartment	RDF	BQB_IS	fma	FMA:70022	extracellular space
						
						
mito	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
mito	compartment	RDF	BQB_IS	go	GO:0005739	Mitochondrion
mito	compartment	RDF	BQB_IS	fma	FMA:63835	Mitochondrion
						
mm	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
mm	compartment	RDF	BQB_IS	go	GO:0031966	mitochondrial membrane
mm	compartment	RDF	BQB_IS	fma	FMA:66861	membrane of mitochondrion
						
# parameters						
^\w+_kcat$	parameter	RDF	BQB_IS	sbo	SBO:0000025	catalytic rate constant
^\w+_k_\w+$	parameter	RDF	BQB_IS	sbo	SBO:0000027	Michaelis constant
^\w+_keq$	parameter	RDF	BQB_IS	sbo	SBO:0000281	equilibrium constant
^\w+_ki_\w+$	parameter	RDF	BQB_IS	sbo	SBO:0000261	inhibitory constant
^\w+_Vmax$	parameter	RDF	BQB_IS	sbo	SBO:0000186	maximal velocity
						
^epi$	parameter	RDF	BQB_IS	chebi	CHEBI:18357	
^epi$	parameter	RDF	BQB_IS	kegg.compound	C00547	
						
^ins$	parameter	RDF	BQB_IS	kegg.compound	C00723	
^ins$	parameter	RDF	BQB_IS	uniprot	P01308	
						
^glu$	parameter	RDF	BQB_IS	kegg.compound	C01501	
^glu$	parameter	RDF	BQB_IS	uniprot	P01275	
# reactions						
^GLUT2$	reaction	RDF	BQB_IS	sbo	SBO:0000185	transport reaction
^GLUT2$	reaction	RDF	BQB_IS	uniprot	P11168	
						
^LACT$	reaction	RDF	BQB_IS	sbo	SBO:0000185	transport reaction
						
^PYRTM$	reaction	RDF	BQB_IS	sbo	SBO:0000185	transport reaction
						
^PEPTM$	reaction	RDF	BQB_IS	sbo	SBO:0000185	transport reaction
						
^GK$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^GK$	reaction	RDF	BQB_IS	ec-code	2.7.1.2	
^GK$	reaction	RDF	BQB_IS	kegg.reaction	R00299	
^GK$	reaction	RDF	BQB_IS	rhea	17828	
^GK$	reaction	RDF	BQB_IS	uniprot	P35557	
						
^G6PASE$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^G6PASE$	reaction	RDF	BQB_IS	ec-code	3.1.3.9	
^G6PASE$	reaction	RDF	BQB_IS	rhea	16692	
^G6PASE$	reaction	RDF	BQB_IS	kegg.reaction	R00303	
^G6PASE$	reaction	RDF	BQB_IS	uniprot	P35575	
						
^GPI$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^GPI$	reaction	RDF	BQB_IS	ec-code	5.3.1.9	
^GPI$	reaction	RDF	BQB_IS	rhea	11819	
^GPI$	reaction	RDF	BQB_IS	kegg.reaction	R00771	
^GPI$	reaction	RDF	BQB_IS	uniprot	P06744	
						
^G16PI$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^G16PI$	reaction	RDF	BQB_IS	ec-code	5.4.2.2	
^G16PI$	reaction	RDF	BQB_IS	rhea	23539	
^G16PI$	reaction	RDF	BQB_IS	kegg.reaction	R00959	
^G16PI$	reaction	RDF	BQB_IS	uniprot	P36871	
^G16PI$	reaction	RDF	BQB_IS	uniprot	Q96G03	
						
^UPGASE$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^UPGASE$	reaction	RDF	BQB_IS	ec-code	2.7.7.9	
^UPGASE$	reaction	RDF	BQB_IS	rhea	19892	
^UPGASE$	reaction	RDF	BQB_IS	kegg.reaction	R00289	
^UPGASE$	reaction	RDF	BQB_IS	uniprot	Q16851	
						
^PPASE$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PPASE$	reaction	RDF	BQB_IS	ec-code	3.6.1.1	
^PPASE$	reaction	RDF	BQB_IS	rhea	24579	
^PPASE$	reaction	RDF	BQB_IS	kegg.reaction	R00004	
^PPASE$	reaction	RDF	BQB_IS	uniprot	Q15181	
						
^GS$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^GS$	reaction	RDF	BQB_IS_VERSION_OF	kegg.reaction	R00292	
^GS$	reaction	RDF	BQB_IS_VERSION_OF	rhea	18552	
^GS$	reaction	RDF	BQB_IS	uniprot	P54840	
						
^GP$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^GP$	reaction	RDF	BQB_IS_VERSION_OF	rhea	41732	
^GP$	reaction	RDF	BQB_IS_VERSION_OF	kegg.reaction	R01821	
^GP$	reaction	RDF	BQB_IS	uniprot	P06737	
						
^NDKGTP$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^NDKGTP$	reaction	RDF	BQB_IS	ec-code	2.7.4.6	
^NDKGTP$	reaction	RDF	BQB_IS	rhea	27689	
^NDKGTP$	reaction	RDF	BQB_IS	kegg.reaction	R00330	
						
^NDKUTP$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^NDKUTP$	reaction	RDF	BQB_IS	ec-code	2.7.4.6	
^NDKUTP$	reaction	RDF	BQB_IS	rhea	25101	
^NDKUTP$	reaction	RDF	BQB_IS	kegg.reaction	R00156	
						
^AK$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^AK$	reaction	RDF	BQB_IS	ec-code	2.7.4.3	
^AK$	reaction	RDF	BQB_IS	rhea	12976	
^AK$	reaction	RDF	BQB_IS	kegg.reaction	R00127	
						
^PFK2$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PFK2$	reaction	RDF	BQB_IS	ec-code	2.7.1.105	
^PFK2$	reaction	RDF	BQB_IS	rhea	15654	
^PFK2$	reaction	RDF	BQB_IS	kegg.reaction	R02732	
^PFK2$	reaction	RDF	BQB_IS	uniprot	P16118	
						
^FBP2$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^FBP2$	reaction	RDF	BQB_IS	ec-code	3.1.3.46	
^FBP2$	reaction	RDF	BQB_IS	rhea	17290	
^FBP2$	reaction	RDF	BQB_IS	kegg.reaction	R00763	
