pattern	sbml_type	annotation_type	value	qualifier	collection	name
########################################################################################################						
# Annotations of the Hepatic Glucose Model (Koenig2012)						
########################################################################################################						
						
						
#model						
	document	RDF	SBO:0000293	BQM_IS	biomodels.sbo	non-spatial continuous framework
Hepatic_glucose	model	RDF	9606	BQB_HAS_TAXON	taxonomy	Homo sapiens (Human)
Hepatic_glucose	model	RDF	BTO:0000759	BQB_IS	bto	liver
Hepatic_glucose	model	RDF	UBERON:0002107	BQB_IS	uberon	liver
Hepatic_glucose	model	RDF	FMA:7197	BQB_IS	fma	liver
Hepatic_glucose	model	RDF	BTO:0000575	BQB_IS	bto	hepatocyte
Hepatic_glucose	model	RDF	FMA:14515	BQB_IS	fma	hepatocyte
Hepatic_glucose	model	RDF	PW:0000685	BQB_IS_VERSION_OF	pw	glucose biosynthesis pathway
Hepatic_glucose	model	RDF	map00010	BQB_IS_VERSION_OF	kegg.pathway	Glycolysis / Gluconeogenesis
Hepatic_glucose	model	RDF	GO:0006006	BQB_IS_VERSION_OF	go	glucose metabolic process
Hepatic_glucose	model	RDF	R-HSA-70326	BQB_IS_VERSION_OF	reactome	glucose metabolism
Hepatic_glucose	model	RDF	22761565	BQM_IS_DESCRIBED_BY	pubmed	
						
# compartment						
cyto	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
cyto	compartment	RDF	GO:0005829	BQB_IS	go	cytosol
cyto	compartment	RDF	FMA:66836	BQB_IS	fma	portion of cytosol
						
pm	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
pm	compartment	RDF	GO:0005886	BQB_IS	go	plasma membrane
pm	compartment	RDF	FMA:63841	BQB_IS	fma	plasma membrane
						
ext	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
ext	compartment	RDF	GO:0005615	BQB_IS	go	extracellular space
ext	compartment	RDF	FMA:70022	BQB_IS	fma	extracellular space
						
						
mito	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
mito	compartment	RDF	GO:0005739	BQB_IS	go	Mitochondrion
mito	compartment	RDF	FMA:63835	BQB_IS	fma	Mitochondrion
						
mm	compartment	RDF	SBO:0000290	BQB_IS	biomodels.sbo	physical compartment
mm	compartment	RDF	GO:0031966	BQB_IS	go	mitochondrial membrane
mm	compartment	RDF	FMA:66861	BQB_IS	fma	membrane of mitochondrion
						
# parameters						
^\w+_kcat$	parameter	RDF	SBO:0000025	BQB_IS	biomodels.sbo	catalytic rate constant
^\w+_k_\w+$	parameter	RDF	SBO:0000027	BQB_IS	biomodels.sbo	Michaelis constant
^\w+_keq$	parameter	RDF	SBO:0000281	BQB_IS	biomodels.sbo	equilibrium constant
^\w+_ki_\w+$	parameter	RDF	SBO:0000261	BQB_IS	biomodels.sbo	inhibitory constant
^\w+_Vmax$	parameter	RDF	SBO:0000186	BQB_IS	biomodels.sbo	maximal velocity
						
^epi$	parameter	RDF	CHEBI:18357	BQB_IS	chebi	
^epi$	parameter	RDF	C00547	BQB_IS	kegg.compound	
						
^ins$	parameter	RDF	C00723	BQB_IS	kegg.compound	
^ins$	parameter	RDF	P01308	BQB_IS	uniprot	
						
^glu$	parameter	RDF	C01501	BQB_IS	kegg.compound	
^glu$	parameter	RDF	P01275	BQB_IS	uniprot	
# reactions						
^GLUT2$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
^GLUT2$	reaction	RDF	P11168	BQB_IS	uniprot	
						
^LACT$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
						
^PYRTM$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
						
^PEPTM$	reaction	RDF	SBO:0000185	BQB_IS	biomodels.sbo	transport reaction
						
^GK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GK$	reaction	RDF	2.7.1.2	BQB_IS	ec-code	
^GK$	reaction	RDF	R00299	BQB_IS	kegg.reaction	
^GK$	reaction	RDF	17828	BQB_IS	rhea	
^GK$	reaction	RDF	P35557	BQB_IS	uniprot	
						
^G6PASE$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^G6PASE$	reaction	RDF	3.1.3.9	BQB_IS	ec-code	
^G6PASE$	reaction	RDF	16692	BQB_IS	rhea	
^G6PASE$	reaction	RDF	R00303	BQB_IS	kegg.reaction	
^G6PASE$	reaction	RDF	P35575	BQB_IS	uniprot	
						
^GPI$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GPI$	reaction	RDF	5.3.1.9	BQB_IS	ec-code	
^GPI$	reaction	RDF	11819	BQB_IS	rhea	
^GPI$	reaction	RDF	R00771	BQB_IS	kegg.reaction	
^GPI$	reaction	RDF	P06744	BQB_IS	uniprot	
						
^G16PI$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^G16PI$	reaction	RDF	5.4.2.2	BQB_IS	ec-code	
^G16PI$	reaction	RDF	23539	BQB_IS	rhea	
^G16PI$	reaction	RDF	R00959	BQB_IS	kegg.reaction	
^G16PI$	reaction	RDF	P36871	BQB_IS	uniprot	
^G16PI$	reaction	RDF	Q96G03	BQB_IS	uniprot	
						
^UPGASE$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^UPGASE$	reaction	RDF	2.7.7.9	BQB_IS	ec-code	
^UPGASE$	reaction	RDF	19892	BQB_IS	rhea	
^UPGASE$	reaction	RDF	R00289	BQB_IS	kegg.reaction	
^UPGASE$	reaction	RDF	Q16851	BQB_IS	uniprot	
						
^PPASE$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PPASE$	reaction	RDF	3.6.1.1	BQB_IS	ec-code	
^PPASE$	reaction	RDF	24579	BQB_IS	rhea	
^PPASE$	reaction	RDF	R00004	BQB_IS	kegg.reaction	
^PPASE$	reaction	RDF	Q15181	BQB_IS	uniprot	
						
^GS$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GS$	reaction	RDF	R00292	BQB_IS_VERSION_OF	kegg.reaction	
^GS$	reaction	RDF	18552	BQB_IS_VERSION_OF	rhea	
^GS$	reaction	RDF	P54840	BQB_IS	uniprot	
						
^GP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GP$	reaction	RDF	41732	BQB_IS_VERSION_OF	rhea	
^GP$	reaction	RDF	R01821	BQB_IS_VERSION_OF	kegg.reaction	
^GP$	reaction	RDF	P06737	BQB_IS	uniprot	
						
^NDKGTP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^NDKGTP$	reaction	RDF	2.7.4.6	BQB_IS	ec-code	
^NDKGTP$	reaction	RDF	27689	BQB_IS	rhea	
^NDKGTP$	reaction	RDF	R00330	BQB_IS	kegg.reaction	
						
^NDKUTP$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^NDKUTP$	reaction	RDF	2.7.4.6	BQB_IS	ec-code	
^NDKUTP$	reaction	RDF	25101	BQB_IS	rhea	
^NDKUTP$	reaction	RDF	R00156	BQB_IS	kegg.reaction	
						
^AK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^AK$	reaction	RDF	2.7.4.3	BQB_IS	ec-code	
^AK$	reaction	RDF	12976	BQB_IS	rhea	
^AK$	reaction	RDF	R00127	BQB_IS	kegg.reaction	
						
^PFK2$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PFK2$	reaction	RDF	2.7.1.105	BQB_IS	ec-code	
^PFK2$	reaction	RDF	15654	BQB_IS	rhea	
^PFK2$	reaction	RDF	R02732	BQB_IS	kegg.reaction	
^PFK2$	reaction	RDF	P16118	BQB_IS	uniprot	
						
